cell_name	cell_short
ACx_MEIS2_GABA	ACx_MEIS2_GABA
Astrocyte	AST
CN_LAMP5-CXCL14_GABA	CN_LAMP5_CXCL14_GABA
CN_LHX8_GABA	CN_LHX8_GABA
CN_MEIS2_GABA	CN_MEIS2_GABA
CN_ST18_GABA	CN_ST18_GABA
CN_VIP_GABA	CN_VIP_GABA
COP	COP
Endo	ENDO
F_GABA	F_GABA
F_Glut	F_GLUT
F_M_GATA3_GABA	FM_GATA3_GABA
F_M_Glut	FM_GLUT
M_Dopa	M_DOPA
Macrophage	MAC
Microglia	MICRO
OPC	OPC
OT_Granular_GABA	OT_GRAN_GABA
Oligodendrocyte	OLIG
Pericyte	PERI
STR_D1_MSN	STR_D1_MSN
STR_D2_MSN	STR_D2_MSN
STR_Hybrid_MSN	STR_HYB_MSN
STR_RSPO2_GABA	STR_RSPO2_GABA
STR_SST-CHODL_GABA	STR_SST_CHODL_GABA
VLMC	VLMC
